text,label
"Experienced Python developer with machine learning, pandas, numpy, and data analysis projects.",1
"Software engineer skilled in Java, Spring Boot, SQL and backend systems.",1
"Full stack developer with React, Node.js, HTML, CSS and MongoDB.",1
"Data scientist with Python, TensorFlow, deep learning and statistics.",1
"Cloud engineer with AWS, Docker, Kubernetes and CI/CD pipelines.",1
"Looking for job. Hardworking and passionate individual.",0
"Motivated person seeking opportunity to grow.",0
"Good communication skills and teamwork ability.",0
"Hardworking fresher ready to work in company.",0
"Responsible and dedicated candidate seeking job.",0
